FILE_NAME,VERTEX_NUM,EDGES_NUM,INSERTS,UPDATES,DELETES,R_AVG,DURATION,RESIDENT_MEM
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,34682,264346,0.413296,0.523157,35276
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,33943,264346,0.41544,0.536677,35260
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,35131,264346,0.413415,0.517601,35252
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,34269,264346,0.41576,0.543871,35508
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,34432,264346,0.414893,0.531965,35512
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,33989,264346,0.415095,0.528605,35428
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,35362,264346,0.413523,0.51975,35244
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,34659,264346,0.413521,0.525407,35296
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,35061,264346,0.412571,0.532328,35256
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,34778,264346,0.412961,0.514478,35540
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,33400,264346,0.413666,0.512798,35132
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,34783,264346,0.412752,0.513068,35104
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,34696,264346,0.41586,0.539547,35272
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,34811,264346,0.414639,0.530911,35516
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,34636,264346,0.415878,0.541039,35476
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,34671,264346,0.413596,0.511282,35132
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,34453,264346,0.41371,0.520028,35164
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,34255,264346,0.414177,0.520386,35476
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,34085,264346,0.415688,0.539163,35516
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,35053,264346,0.413789,0.529279,35076
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,33528,264346,0.414465,0.517044,35184
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,34770,264346,0.412319,0.507289,35304
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,34779,264346,0.413853,0.522475,35036
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,34470,264346,0.416017,0.54863,35268
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,33969,264346,0.415794,0.536069,35472
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,34914,264346,0.412862,0.517788,35212
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,34637,264346,0.412619,0.511725,35076
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,34338,264346,0.415562,0.540064,35248
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,34838,264346,0.414504,0.526106,35216
./graphs/dimacs_graphs/USA-road-d.NY.gr,2,264346,733846,264346,34280,264346,0.414839,0.534471,35076
