FILE_NAME,VERTEX_NUM,EDGES_NUM,INSERTS,UPDATES,DELETES,R_AVG,DURATION,RESIDENT_MEM
./graphs/rand_graphs/26028_0.0761924.gr,2,26028,51614781,26028,162849,26028,0.164035,0.530382,434136
./graphs/rand_graphs/7558_0.0165576.gr,2,7558,946236,7558,25553,7558,0.226086,0.0358934,15720
./graphs/rand_graphs/31323_0.0626958.gr,2,31323,61515425,31323,195735,31323,0.163888,0.636078,516360
./graphs/rand_graphs/10547_0.0448186.gr,2,10547,4986577,10547,50313,10547,0.195112,0.0854117,49840
./graphs/rand_graphs/12419_0.0924971.gr,2,12419,14263415,12419,71107,12419,0.185514,0.171892,167968
./graphs/rand_graphs/29629_0.0423221.gr,2,29629,37136308,29629,173021,29629,0.184549,0.442423,420152
./graphs/rand_graphs/19627_0.01004.gr,2,19627,3866301,19627,75606,19627,0.209843,0.114349,46896
./graphs/rand_graphs/24546_0.0907703.gr,2,24546,54690745,24546,155434,24546,0.157579,0.548243,535480
./graphs/rand_graphs/7356_0.0965595.gr,2,7356,5226070,7356,38113,7356,0.192169,0.0731106,64368
./graphs/rand_graphs/30850_0.0710726.gr,2,30850,67632273,30850,194626,30850,0.158017,0.676863,663472
./graphs/rand_graphs/26557_0.0464565.gr,2,26557,32768351,26557,155010,26557,0.185646,0.394972,372740
./graphs/rand_graphs/27804_0.0804091.gr,2,27804,62157381,27804,176265,27804,0.156243,0.623683,608144
./graphs/rand_graphs/18622_0.0240747.gr,2,18622,8348945,18622,86930,18622,0.195327,0.149942,82868
./graphs/rand_graphs/9029_0.0622772.gr,2,9029,5077433,9029,44189,9029,0.194437,0.0791643,77148
./graphs/rand_graphs/16919_0.0495725.gr,2,16919,14188980,16919,90396,16919,0.187907,0.19183,143084
./graphs/rand_graphs/8430_0.0385687.gr,2,8430,2743151,8430,36801,8430,0.202317,0.0565353,39248
./graphs/rand_graphs/23344_0.0650674.gr,2,23344,35458571,23344,141701,23344,0.176972,0.395011,378552
./graphs/rand_graphs/9384_0.0626563.gr,2,9384,5523085,9384,46781,9384,0.193456,0.08462,81360
./graphs/rand_graphs/22653_0.0252868.gr,2,22653,12978805,22653,111680,22653,0.191692,0.215778,190060
./graphs/rand_graphs/24854_0.0588026.gr,2,24854,36333035,24854,149553,24854,0.17789,0.41007,393748
./graphs/rand_graphs/15732_0.0257451.gr,2,15732,6372320,15732,72375,15732,0.19665,0.121192,70288
./graphs/rand_graphs/21607_0.0801562.gr,2,21607,37425096,21607,132732,21607,0.17,0.402438,355084
./graphs/rand_graphs/21844_0.0569305.gr,2,21844,27164567,21844,127377,21844,0.183911,0.32415,308668
./graphs/rand_graphs/5547_0.0357877.gr,2,5547,1101972,5547,21723,5547,0.21333,0.0303678,16456
./graphs/rand_graphs/8778_0.0304369.gr,2,8778,2346010,8778,36768,8778,0.205341,0.0565655,36456
./graphs/rand_graphs/16314_0.0712818.gr,2,16314,18965709,16314,93269,16314,0.186168,0.228897,221124
./graphs/rand_graphs/28446_0.0406477.gr,2,28446,32889482,28446,162938,28446,0.186262,0.405876,381888
./graphs/rand_graphs/14617_0.0919626.gr,2,14617,19650004,14617,86336,14617,0.182115,0.223638,218964
./graphs/rand_graphs/27489_0.0556911.gr,2,27489,42083891,27489,167106,27489,0.175642,0.470335,446904
./graphs/rand_graphs/28960_0.0619205.gr,2,28960,51921993,28960,180078,28960,0.169735,0.565749,475036
