FILE_NAME,K_NUM,VERTEX_NUM,EDGES_NUM,INSERTS,UPDATES,DELETES,R_AVG,DURATION,RESIDENT_MEM
./graphs/change_vertices/8000_750000.gr,2,8000,749095,8000,24953,8000,0.233927,0.0347064,13396
./graphs/change_vertices/7000_750000.gr,2,7000,750710,7000,22834,7000,0.228797,0.0315076,12276
./graphs/change_vertices/6000_750000.gr,2,6000,749991,6000,20497,6000,0.225218,0.0280834,13428
./graphs/change_vertices/15000_750000.gr,2,15000,748414,15000,37609,15000,0.253503,0.0627082,14000
./graphs/change_vertices/20000_750000.gr,2,20000,749158,20000,44405,20000,0.265131,0.0776479,16108
./graphs/change_vertices/5000_750000.gr,2,5000,749555,5000,17913,5000,0.221888,0.0241737,14692
./graphs/change_vertices/25000_750000.gr,2,25000,751109,25000,50399,25000,0.275794,0.0965969,16376
./graphs/change_vertices/12500_750000.gr,2,12500,750200,12500,33613,12500,0.246738,0.0507268,14328
./graphs/change_vertices/10000_750000.gr,2,10000,750022,10000,29059,10000,0.239794,0.041999,15180
./graphs/change_vertices/30000_750000.gr,2,30000,745056,30000,54869,30000,0.286611,0.112884,16588
